Name,Right Ascension,Declination,Apparent Magnitude,Constellation
HD 212771,22h 27m 03.07s,-17° 15′ 49.2″,7.6,Aquarius
HD 222582,23h 41m 51.53s,-05° 59′ 08.7″,7.7,Aquarius
HD 220689,23h 25m 53s,-20° 36′ 58″,7.77,Aquarius
HD 215152,22h 43m 21s,-06° 24′ 03″,8.13,Aquarius
HD 206610,21h 43m 24.90s,-07° 24′ 29.7″,8.34,Aquarius
104 Aquarii,23h 41m 46.39s,-17° 47′ 00.5″,8.52,Aquarius
WASP-69,21h 00m 06.0s,-05° 05′ 40″,9.87,Aquarius
Gliese 876,22h 53m 16.73s,-14° 15′ 49.3″,10.17,Aquarius
Gliese 849,22h 09m 40.35s,-04° 38′ 26.6″,10.42,Aquarius
WASP-70,21h 01m 54.0s,-13° 26′ 00″,10.79,Aquarius
WASP-75,22h 49m 33.0s,-10° 40′ 32″,11.45,Aquarius
AE Aquarii,20h 40m 09.16s,-00° 52′ 15.0″,11.6,Aquarius
WASP-47,22h 04m 49.0s,-12° 01′ 08″,11.9,Aquarius
EZ Aquarii,22h 38m 33.62s,-15° 17′ 59.2″,12.18,Aquarius
WASP-6,23h 12m 38.0s,-22° 40′ 26″,12.4,Aquarius
Fomalhaut,22h 48m 04.47s,-24° 22′ 07.5″,12.62,Aquarius
Altair,19h 50m 46.68s,+08° 52′ 02.6″,0.76,Aquila
Gamma Aquilae,19h 46m 15.57s,+10° 36′ 47.8″,2.72,Aquila
Zeta Aquilae,19h 05m 24.61s,+13° 51′ 49.4″,2.99,Aquila
Theta Aquilae,20h 11m 18.26s,-00° 49′ 17.3″,3.24,Aquila
Delta Aquilae,19h 25m 29.75s,+03° 06′ 52.5″,3.36,Aquila
Lambda Aquilae,19h 06m 14.95s,-04° 52′ 56.4″,3.43,Aquila
Beta Aquilae,19h 55m 18.77s,+06° 24′ 28.6″,3.71,Aquila
Eta Aquilae,19h 52m 28.36s,+01° 00′ 20.4″,3.87,Aquila
Epsilon Aquilae,18h 59m 37.39s,+15° 04′ 06.5″,4.02,Aquila
12 Aquilae,19h 01m 40.84s,-05° 44′ 20.5″,4.02,Aquila
71 Aquilae,20h 38m 20.27s,-01° 06′ 18.3″,4.31,Aquila
Iota Aquilae,19h 36m 43.28s,-01° 17′ 11.6″,4.36,Aquila
Mu Aquilae,19h 34m 05.23s,+07° 22′ 45.5″,4.45,Aquila
Nu Aquilae,19h 26m 31.09s,+00° 20′ 18.9″,4.64,Aquila
Xi Aquilae,19h 54m 14.882s,+08° 27′ 41.23″,4.722,Aquila
69 Aquilae,20h 29m 38.96s,-02° 53′ 07.7″,4.91,Aquila
70 Aquilae,20h 36m 43.63s,-02° 32′ 59.7″,4.91,Aquila
Kappa Aquilae,19h 36m 53.45s,-07° 01′ 38.9″,4.93,Aquila
26 Aquilae,19h 20m 32.84s,-05° 24′ 57.1″,4.98,Aquila
4 Aquilae,18h 44m 49.93s,+02° 03′ 36.3″,5.02,Aquila
36 Aquilae,19h 30m 39.82s,-02° 47′ 19.9″,5.03,Aquila
18 Aquilae,19h 06m 58.60s,+11° 04′ 16.7″,5.07,Aquila
23 Aquilae,19h 18m 32.49s,+01° 05′ 06.3″,5.1,Aquila
37 Aquilae,19h 35m 07.25s,-10° 33′ 37.6″,5.12,Aquila
Omicron Aquilae,19h 51m 01.50s,+10° 24′ 57.8″,5.12,Aquila
21 Aquilae,19h 13m 42.70s,+02° 17′ 37.4″,5.14,Aquila
31 Aquilae,19h 24m 57.77s,+11° 56′ 34.3″,5.17,Aquila
Sigma Aquilae,19h 39m 11.64s,+05° 23′ 52.0″,5.18,Aquila
19 Aquilae,19h 08m 59.92s,+06° 04′ 24.2″,5.23,Aquila
11 Aquilae,18h 59m 05.73s,+13° 37′ 21.2″,5.27,Aquila
Omega¹ Aquilae,19h 17m 49.00s,+11° 35′ 43.4″,5.28,Aquila
Chi Aquilae,19h 42m 34.01s,+11° 49′ 35.8″,5.28,Aquila
Phi Aquilae,19h 56m 14.23s,+11° 25′ 25.4″,5.28,Aquila
FF Aquilae,18h 58m 14.75s,+17° 21′ 39.4″,5.33,Aquila
20 Aquilae,19h 12m 40.70s,-07° 56′ 22.2″,5.35,Aquila
51 Aquilae,19h 50m 46.80s,-10° 45′ 48.9″,5.38,Aquila
14 Aquilae,19h 02m 54.49s,-03° 41′ 56.4″,5.4,Aquila
15 Aquilae,19h 04m 57.66s,-04° 01′ 52.9″,5.4,Aquila
66 Aquilae,20h 13m 13.87s,-01° 00′ 33.4″,5.44,Aquila
42 Aquilae,19h 37m 47.26s,-04° 38′ 51.0″,5.45,Aquila
27 Aquilae,19h 20m 35.68s,-00° 53′ 31.8″,5.46,Aquila
Tau Aquilae,20h 04m 08.31s,+07° 16′ 40.6″,5.51,Aquila
28 Aquilae,19h 19m 39.35s,+12° 22′ 28.7″,5.53,Aquila
62 Serpentis,18h 55m 27.44s,+06° 36′ 55.8″,5.58,Aquila
HD 180262,19h 15m 20.09s,+15° 05′ 01.2″,5.58,Aquila
22 Aquilae,19h 16m 31.02s,+04° 50′ 05.4″,5.59,Aquila
58 Aquilae,19h 54m 44.77s,+00° 16′ 25.2″,5.6,Aquila
V1291 Aquilae,19h 53m 18.72s,-03° 06′ 52.2″,5.63,Aquila
45 Aquilae,19h 40m 43.31s,-00° 37′ 16.7″,5.64,Aquila
HD 180555,19h 16m 26.78s,+14° 32′ 40.6″,5.65,Aquila
62 Aquilae,20h 04m 23.15s,-00° 42′ 32.5″,5.67,Aquila
Pi Aquilae,19h 48m 42.10s,+11° 48′ 55.0″,5.7,Aquila
57 Aquilae,19h 54m 37.65s,-08° 13′ 38.0″,5.7,Aquila
14 Sagittae,20h 03m 30.01s,+16° 01′ 52.6″,5.73,Aquila
Pi Aquilae,19h 48m 42.05s,+11° 48′ 57.3″,5.75,Aquila
56 Aquilae,19h 54m 08.27s,-08° 34′ 27.0″,5.76,Aquila
35 Aquilae,19h 29m 00.99s,+01° 57′ 01.9″,5.79,Aquila
5 Aquilae,18h 46m 28.58s,-00° 57′ 41.9″,5.89,Aquila
Upsilon Aquilae,19h 45m 39.92s,+07° 36′ 47.4″,5.89,Aquila
10 Aquilae,18h 58m 46.92s,+13° 54′ 24.4″,5.91,Aquila
64 Aquilae,20h 08m 01.75s,-00° 40′ 40.9″,5.97,Aquila
HD 185018,19h 36m 52.45s,+11° 16′ 23.5″,5.98,Aquila
QS Aquilae,19h 41m 05.53s,+13° 48′ 56.5″,5.98,Aquila
Omega² Aquilae,19h 19m 53.04s,+11° 32′ 05.7″,6.03,Aquila
8 Aquilae,18h 51m 22.16s,-03° 19′ 04.1″,6.08,Aquila
HD 183589,19h 30m 10.53s,+02° 54′ 14.7″,6.08,Aquila
V923 Aquilae,19h 30m 33.11s,+03° 26′ 39.8″,6.09,Aquila
R Aquilae,19h 06m 22.25s,+08° 13′ 48.0″,6.09,Aquila
V500 Aquilae,19h 52m 27.98s,+08° 28′ 41.6″,6.1,Aquila
68 Aquilae,20h 28m 24.89s,-03° 21′ 27.9″,6.12,Aquila
HD 188385,19h 54m 40.18s,+07° 08′ 25.3″,6.14,Aquila
HD 194244,20h 24m 37.49s,+01° 04′ 06.2″,6.14,Aquila
HD 187923,19h 52m 03.64s,+11° 37′ 44.9″,6.16,Aquila
Psi Aquilae,19h 44m 34.19s,+13° 18′ 10.1″,6.25,Aquila
HD 191984,20h 12m 35.12s,+00° 52′ 01.6″,6.25,Aquila
HD 183144,19h 27m 33.90s,+14° 16′ 57.0″,6.31,Aquila
46 Aquilae,19h 42m 12.81s,+12° 11′ 35.8″,6.33,Aquila
V450 Aquilae,19h 33m 46.03s,+05° 27′ 56.8″,6.35,Aquila
HD 174569,18h 50m 45.55s,+10° 58′ 35.0″,6.37,Aquila
U Aquilae,19h 29m 21.36s,-07° 02′ 38.6″,6.37,Aquila
V1472 Aquilae,20h 05m 26.53s,+15° 30′ 01.3″,6.37,Aquila
V1401 Aquilae,20h 05m 05.42s,-11° 35′ 57.8″,6.38,Aquila
24 Aquilae,19h 18m 50.93s,+00° 20′ 20.4″,6.4,Aquila
HD 191104,20h 07m 50.34s,+09° 23′ 59.1″,6.43,Aquila
HD 192699,20h 16m 06.03s,+04° 34′ 51.3″,6.44,Aquila
HD 179791,19h 13m 44.02s,+05° 30′ 56.3″,6.47,Aquila
V1339 Aquilae,19h 50m 17.48s,+07° 54′ 08.7″,6.49,Aquila
57 Aquilae,19h 54m 38.06s,-08° 14′ 13.1″,6.49,Aquila
HD 188405,19h 55m 19.49s,-06° 44′ 04.7″,6.49,Aquila
V1691 Aquilae,19h 25m 01.51s,-04° 53′ 04.4″,6.5,Aquila
V Aquilae,19h 04m 24.15s,-05° 41′ 05.4″,6.78,Aquila
TT Aquilae,19h 08m 13.75s,+01° 17′ 55.2″,7.1,Aquila
HD 186641,19h 45m 41.0s,-00° 41′ 48″,7.34,Aquila
V604 Aquilae,19h 02m 6.33s,-04° 26′ 43.2″,7.6,Aquila
HD 183263,19h 28m 24.57s,+08° 21′ 29.0″,7.86,Aquila
HD 179079,19h 11m 09.83s,-02° 38′ 18.2″,7.96,Aquila
V1703 Aquilae,20h 13m 59.85s,-00° 52′ 00.8″,8.1,Aquila
V1494 Aquilae,19h 23m 5.38s,+04° 57′ 20.1″,8.8,Aquila
WASP-74,20h 18m 10.0s,-01° 04′ 33″,9.7,Aquila
HAT-P-41,19h 49m 17.0s,+04° 40′ 21″,11.09,Aquila
V603 Aquilae,18h 48m 54.64s,+00° 35′ 02.9″,11.64,Aquila
WASP-80,20h 12m 40.0s,-02° 08′ 44″,11.88,Aquila
Chi Aquilae,19h 42m 37.90s,+11° 50′ 31.0″,12.3,Aquila
COROT-2,19h 27m 07s,+01° 23′ 02″,12.57,Aquila
COROT-3,19h 28m 13.27s,+00° 07′ 18.6″,13.3,Aquila
COROT-8,19h 26m 21.24s,+01° 25′ 35.2″,14.8,Aquila
COROT-10,19h 24m 15.30s,+00° 44′ 46.0″,15.22,Aquila
VB 10,19h 16m 57.62s,+05° 09′ 02.2″,17.3,Aquila
Beta Arae,17h 25m 18.00s,-55° 31′ 47.4″,2.84,Ara
Alpha Arae,17h 31m 50.52s,-49° 52′ 33.5″,2.84,Ara
Zeta Arae,16h 58m 37.23s,-55° 59′ 24.2″,3.12,Ara
Gamma Arae,17h 25m 23.66s,-56° 22′ 39.7″,3.31,Ara
Delta Arae,17h 31m 05.98s,-60° 41′ 01.0″,3.6,Ara
Theta Arae,18h 06m 37.88s,-50° 05′ 29.2″,3.65,Ara
Eta Arae,16h 49m 47.11s,-59° 02′ 28.7″,3.77,Ara
Epsilon1 Arae,16h 59m 35.05s,-53° 09′ 37.8″,4.06,Ara
Sigma Arae,17h 35m 39.61s,-46° 30′ 20.1″,4.56,Ara
Lambda Arae,17h 40m 23.73s,-49° 24′ 54.6″,4.76,Ara
Mu Arae,17h 44m 08.72s,-51° 50′ 00.9″,5.12,Ara
Kappa Arae,17h 26m 00.03s,-50° 38′ 00.7″,5.19,Ara
Iota Arae,17h 23m 16.08s,-47° 28′ 05.4″,5.21,Ara
Pi Arae,17h 38m 05.57s,-54° 30′ 00.3″,5.25,Ara
Epsilon2 Arae,17h 03m 08.71s,-53° 14′ 11.9″,5.27,Ara
HD 157661,17h 26m 51.98s,-45° 50′ 34.7″,5.28,Ara
41 G. Arae,17h 19m 02.95s,-46° 38′ 11.4″,5.47,Ara
Rho2 Arae,16h 58m 17.95s,-50° 38′ 27.9″,5.53,Ara
HD 150898,16h 47m 19.66s,-58° 20′ 29.0″,5.55,Ara
HD 150168,16h 41m 40.23s,-49° 39′ 05.6″,5.62,Ara
HD 153053,17h 00m 06.29s,-54° 35′ 49.2″,5.64,Ara
HD 150136,16h 41m 20.42s,-48° 45′ 46.7″,5.65,Ara
V539 Arae,17h 50m 28.39s,-53° 36′ 44.6″,5.68,Ara
HD 156838,17h 24m 01.08s,-62° 51′ 50.9″,5.69,Ara
HD 157753,17h 27m 57.62s,-52° 17′ 49.3″,5.72,Ara
HD 153716,17h 04m 24.73s,-57° 42′ 43.6″,5.73,Ara
HD 150745,16h 46m 21.23s,-58° 30′ 12.8″,5.74,Ara
HD 156854,17h 23m 07.11s,-56° 31′ 32.0″,5.76,Ara
HD 156942,17h 24m 18.80s,-60° 40′ 25.6″,5.76,Ara
HD 160263,17h 41m 16.23s,-46° 55′ 18.5″,5.78,Ara
HD 156768,17h 22m 55.23s,-58° 00′ 37.0″,5.86,Ara
HD 154903,17h 13m 18.11s,-67° 11′ 46.9″,5.87,Ara
HD 159463,17h 37m 27.31s,-50° 03′ 34.1″,5.89,Ara
HD 157662,17h 27m 12.46s,-50° 37′ 49.3″,5.9,Ara
HD 151967,16h 54m 00.40s,-57° 54′ 33.2″,5.91,Ara
HD 156091,17h 19m 12.51s,-59° 41′ 40.5″,5.93,Ara
HD 157819,17h 28m 38.91s,-55° 10′ 10.8″,5.93,Ara
HD 152527,16h 56m 28.80s,-52° 17′ 01.1″,5.94,Ara
V854 Arae,17h 11m 38.67s,-48° 52′ 24.2″,5.94,Ara
V862 Arae,17h 31m 23.28s,-56° 55′ 15.47″,5.95,Ara
HD 150576,16h 44m 39.75s,-53° 09′ 08.2″,5.96,Ara
HD 153221,17h 00m 26.98s,-48° 38′ 51.2″,5.98,Ara
HD 152082,16h 55m 24.68s,-63° 16′ 10.7″,5.99,Ara
HD 158476,17h 31m 49.10s,-46° 02′ 12.4″,6.04,Ara
HD 153791,17h 03m 41.68s,-47° 09′ 38.1″,6.07,Ara
HR 6384,17h 14m 13.40s,-56° 53′ 18.6″,6.08,Ara
HD 159018,17h 35m 19.91s,-53° 21′ 10.4″,6.09,Ara
HD 161420,17h 48m 38.08s,-55° 24′ 06.6″,6.09,Ara
Nu2 Arae,17h 51m 11.03s,-53° 07′ 49.0″,6.09,Ara
HD 162123,17h 51m 44.55s,-45° 36′ 02.5″,6.09,Ara
HD 165493,18h 08m 30.11s,-45° 46′ 01.1″,6.13,Ara
HD 149485,16h 38m 52.71s,-60° 59′ 25.1″,6.16,Ara
HD 149837,16h 40m 50.41s,-60° 26′ 46.6″,6.17,Ara
HD 157599,17h 26m 56.35s,-51° 56′ 55.6″,6.17,Ara
HD 150421,16h 43m 03.57s,-46° 04′ 13.0″,6.22,Ara
HD 157524,17h 28m 07.88s,-63° 02′ 10.3″,6.22,Ara
V828 Arae,17h 01m 47.39s,-58° 57′ 29.6″,6.26,Ara
HD 158895,17h 35m 35.00s,-59° 50′ 45.9″,6.26,Ara
HD 163071,17h 57m 42.74s,-56° 53′ 46.4″,6.26,Ara
HD 156331,17h 19m 30.51s,-50° 03′ 49.3″,6.27,Ara
V626 Arae,17h 42m 03.62s,-50° 30′ 38.4″,6.28,Ara
V872 Arae,16h 40m 44.39s,-51° 28′ 42.9″,6.3,Ara
Rho1 Arae,16h 56m 08.85s,-50° 40′ 29.2″,6.3,Ara
HD 158907,17h 34m 16.89s,-48° 31′ 36.8″,6.32,Ara
HD 154555,17h 10m 06.28s,-61° 40′ 31.6″,6.37,Ara
HD 153201,17h 01m 07.03s,-56° 33′ 18.1″,6.4,Ara
HD 153370,17h 01m 46.36s,-51° 07′ 51.3″,6.43,Ara
HD 151566,16h 50m 36.09s,-50° 02′ 41.8″,6.45,Ara
HD 164896,18h 06m 09.21s,-51° 44′ 38.0″,6.46,Ara
HD 150897,16h 46m 06.38s,-46° 31′ 54.9″,6.47,Ara
HD 152220,16h 54m 31.55s,-49° 42′ 38.8″,6.49,Ara
HD 155951,17h 18m 51.78s,-62° 52′ 28.3″,6.5,Ara
HD 157832,17h 27m 54.81s,-47° 01′ 34.4″,6.65,Ara
HD 156411,17h 19m 51.40s,-48° 32′ 57.5″,6.67,Ara
R Arae,16h 39m 44.74s,-56° 59′ 39.8″,6.73,Ara
HD 155555,17h 17m 25.50s,-66° 57′ 03.7″,6.77,Ara
HD 156385,17h 19m 29.90s,-45° 38′ 23.9″,6.92,Ara
HD 154857,17h 11m 15.72s,-56° 40′ 50.9″,7.25,Ara
V535 Arae,17h 38m 05.55s,-56° 49′ 17.3″,7.36,Ara
HD 154672,17h 10m 04.91s,-56° 26′ 57.4″,8.21,Ara
RW Arae,17h 34m 49.23s,-57° 08′ 50.5″,8.97,Ara
HD 152079,16h 53m 29.74s,-46° 19′ 58.6″,9.2,Ara
Gliese 674,17h 28m 39.95s,-46° 53′ 42.7″,9.36,Ara
Gliese 676,17h 30m 11.20s,-51° 38′ 13.1″,9.59,Ara
S Arae,17h 59m 10.75s,-49° 26′ 00.5″,10.73,Ara
Stingray nebula,17h 16m 21.08s,-59° 29′ 23.3″,10.75,Ara
AE Arae,17h 41m 04.91s,-47° 03′ 27.0″,11.0,Ara
CPD -56 8032,17h 09m 00.86s,-56° 54′ 48.1″,11.04,Ara
AT Arae,17h 30m 33.80s,-46° 05′ 58.9″,11.5,Ara
GX 339-4,17h 02m 49.36s,-48° 47′ 22.8″,15.5,Ara
BPM 25114,17h 47m 46.9s,-52° 07′ 10″,15.62,Ara
Westerlund 1-26,16h 47m 05.40s,-45° 50′ 36.8″,16.79,Ara
4U 1636-53,16h 40m 55.5s,-53° 45′ 05″,17.5,Ara
Alpha Arietis,02h 07m 10.29s,+23° 27′ 46.0″,2.01,Aries
Beta Arietis,01h 54m 38.35s,+20° 48′ 29.9″,2.64,Aries
41 Arietis,02h 49m 58.99s,+27° 15′ 38.8″,3.61,Aries
Delta Arietis,03h 11m 37.67s,+19° 43′ 36.1″,4.35,Aries
HD 20644,03h 20m 20.37s,+29° 02′ 54.6″,4.47,Aries
39 Arietis,02h 47m 54.44s,+29° 14′ 50.7″,4.52,Aries
Gamma Arietis,01h 53m 31.80s,+19° 17′ 45.0″,4.62,Aries
35 Arietis,02h 43m 27.11s,+27° 42′ 25.8″,4.65,Aries
Gamma Arietis,01h 53m 31.77s,+19° 17′ 38.7″,4.7,Aries
Lambda Arietis,01h 57m 55.78s,+23° 35′ 45.9″,4.79,Aries
Zeta Arietis,03h 14m 54.11s,+21° 02′ 40.7″,4.87,Aries
14 Arietis,02h 09m 25.29s,+25° 56′ 23.9″,4.98,Aries
Kappa Arietis,02h 06m 33.91s,+22° 38′ 54.3″,5.03,Aries
Iota Arietis,01h 57m 21.03s,+17° 49′ 03.3″,5.09,Aries
Tau2 Arietis,03h 22m 45.27s,+20° 44′ 31.6″,5.1,Aries
38 Arietis,02h 44m 57.51s,+12° 26′ 45.5″,5.18,Aries
Epsilon Arietis,02h 59m 12.70s,+21° 20′ 25.0″,5.2,Aries
Eta Arietis,02h 12m 47.98s,+21° 12′ 39.5″,5.23,Aries
Pi Arietis,02h 49m 17.56s,+17° 27′ 51.6″,5.26,Aries
Tau1 Arietis,03h 21m 13.61s,+21° 08′ 49.7″,5.27,Aries
33 Arietis,02h 40m 41.03s,+27° 03′ 39.6″,5.3,Aries
Nu Arietis,02h 38m 49.00s,+21° 57′ 41.2″,5.45,Aries
52 Arietis,03h 05m 26.69s,+25° 15′ 18.7″,5.45,Aries
Xi Arietis,02h 24m 49.04s,+10° 36′ 38.2″,5.48,Aries
Epsilon Arietis,02h 59m 12.73s,+21° 20′ 25.6″,5.5,Aries
64 Arietis,03h 24m 18.46s,+24° 43′ 27.1″,5.5,Aries
Sigma Arietis,02h 51m 29.57s,+15° 04′ 55.7″,5.52,Aries
62 Arietis,03h 22m 11.89s,+27° 36′ 27.3″,5.55,Aries
21 Arietis,02h 15m 42.83s,+25° 02′ 35.7″,5.57,Aries
Theta Arietis,02h 18m 07.55s,+19° 54′ 04.2″,5.58,Aries
Rho3 Arietis,02h 56m 25.98s,+18° 01′ 25.1″,5.58,Aries
HD 20149,03h 15m 20.45s,+30° 33′ 24.0″,5.61,Aries
10 Arietis,02h 03m 39.26s,+25° 56′ 07.6″,5.64,Aries
31 Arietis,02h 36m 37.75s,+12° 26′ 52.2″,5.64,Aries
HD 19270,03h 06m 23.69s,+13° 11′ 14.6″,5.64,Aries
15 Arietis,02h 10m 37.54s,+19° 30′ 01.5″,5.68,Aries
19 Arietis,02h 13m 03.25s,+15° 16′ 47.7″,5.72,Aries
Mu Arietis,02h 42m 21.92s,+20° 00′ 41.7″,5.74,Aries
55 Arietis,03h 09m 36.73s,+29° 04′ 37.6″,5.74,Aries
7 Arietis,01h 55m 51.03s,+23° 34′ 38.4″,5.76,Aries
Rho2 Arietis,02h 55m 48.50s,+18° 19′ 54.0″,5.76,Aries
Omicron Arietis,02h 44m 32.97s,+15° 18′ 42.8″,5.78,Aries
56 Arietis,03h 12m 14.24s,+27° 15′ 25.2″,5.78,Aries
20 Arietis,02h 15m 45.94s,+25° 46′ 59.2″,5.79,Aries
47 Arietis,02h 58m 05.08s,+20° 40′ 07.7″,5.8,Aries
1 Arietis,01h 50m 08.58s,+22° 16′ 31.3″,5.83,Aries
40 Arietis,02h 48m 32.06s,+18° 17′ 01.9″,5.83,Aries
4 Arietis,01h 48m 10.90s,+16° 57′ 20.3″,5.86,Aries
HD 15524,02h 30m 32.31s,+25° 14′ 06.8″,5.88,Aries
HD 12139,01h 59m 35.60s,+21° 03′ 31.0″,5.89,Aries
HR 830,02h 48m 45.87s,+25° 11′ 17.1″,5.89,Aries
1 Arietis,01h 50m 08.50s,+22° 16′ 33.0″,5.9,Aries
49 Arietis,03h 01m 54.15s,+26° 27′ 44.4″,5.91,Aries
59 Arietis,03h 19m 55.81s,+27° 04′ 16.7″,5.91,Aries
54 Ceti,01h 50m 52.01s,+11° 02′ 36.4″,5.93,Aries
HD 18700,03h 00m 44.09s,+10° 52′ 13.7″,5.93,Aries
HD 13522,02h 12m 37.51s,+24° 10′ 04.1″,5.96,Aries
HD 12479,02h 02m 35.08s,+13° 28′ 36.2″,5.97,Aries
HD 19698,03h 10m 38.78s,+11° 52′ 21.7″,5.97,Aries
29 Arietis,02h 32m 54.15s,+15° 02′ 04.1″,6.0,Aries
11 Arietis,02h 06m 49.22s,+25° 42′ 16.5″,6.01,Aries
16 Arietis,02h 11m 12.06s,+25° 56′ 13.0″,6.01,Aries
HD 19637,03h 10m 27.04s,+26° 53′ 45.9″,6.02,Aries
66 Arietis,03h 28m 26.57s,+22° 48′ 15.4″,6.03,Aries
65 Arietis,03h 24m 26.11s,+20° 48′ 12.6″,6.07,Aries
HD 12140,01h 59m 25.88s,+12° 17′ 41.8″,6.09,Aries
HD 19789,03h 11m 21.93s,+13° 02′ 52.1″,6.11,Aries
53 Arietis,03h 07m 25.69s,+17° 52′ 47.9″,6.13,Aries
HD 15152,02h 27m 07.26s,+27° 00′ 45.3″,6.14,Aries
26 Arietis,02h 30m 38.37s,+19° 51′ 19.4″,6.14,Aries
60 Arietis,03h 20m 25.57s,+25° 39′ 46.7″,6.14,Aries
HD 15385,02h 29m 13.63s,+23° 28′ 08.7″,6.2,Aries
27 Arietis,02h 30m 54.38s,+17° 42′ 14.6″,6.21,Aries
HD 12594,02h 03m 42.61s,+18° 15′ 11.8″,6.24,Aries
54 Arietis,03h 08m 21.09s,+18° 47′ 42.3″,6.25,Aries
HD 17918,02h 53m 11.66s,+16° 29′ 01.0″,6.3,Aries
85 Ceti,02h 42m 28.95s,+10° 44′ 30.4″,6.32,Aries
HD 16955,02h 43m 51.25s,+25° 38′ 18.0″,6.35,Aries
HD 19080,03h 04m 40.65s,+15° 51′ 22.5″,6.37,Aries
HD 18928,03h 03m 30.11s,+28° 16′ 11.8″,6.38,Aries
HD 13201,02h 09m 23.03s,+17° 13′ 28.7″,6.4,Aries
HD 20367,03h 17m 40.12s,+31° 07′ 37.9″,6.4,Aries
HD 19549,03h 09m 20.10s,+20° 45′ 40.1″,6.41,Aries
HD 19600,03h 10m 08.83s,+27° 49′ 11.6″,6.42,Aries
HD 14262,02h 18m 57.96s,+23° 10′ 04.2″,6.45,Aries
36 Arietis,02h 44m 19.09s,+17° 45′ 50.5″,6.46,Aries
UX Arietis,03h 26m 35.36s,+28° 42′ 55.2″,6.47,Aries
30 Arietis,02h 37m 00.44s,+24° 38′ 50.1″,6.48,Aries
HD 14067,02h 17m 10.4s,+23° 46′ 04″,6.51,Aries
51 Arietis,03h 02m 25.87s,+26° 36′ 34.7″,6.62,Aries
VW Arietis,02h 26m 45.65s,+10° 33′ 55.1″,6.69,Aries
VY Arietis,02h 48m 43.72s,+31° 06′ 54.7″,6.76,Aries
52 Arietis,03h 05m 26.70s,+25° 15′ 19.0″,7.0,Aries
Rho1 Arietis,02h 54m 55.17s,+17° 44′ 05.3″,7.01,Aries
30 Arietis,02h 36m 57.64s,+24° 38′ 53.1″,7.09,Aries
R Arietis,02h 16m 07.11s,+25° 03′ 23.7″,7.4,Aries
HD 12661,02h 04m 34.29s,+25° 24′ 51.5″,7.44,Aries
HIP 14810,03h 11m 14.23s,+21° 05′ 50.5″,8.52,Aries
BD +20°307,01h 54m 50.79s,+21° 18′ 22.5″,9.01,Aries
X Arietis,03h 08m 30.89s,+10° 26′ 45.2″,9.04,Aries
RX Arietis,02h 15m 20.78s,+22° 34′ 11.1″,9.41,Aries
SS Arietis,02h 04m 18.41s,+24° 00′ 02.2″,10.15,Aries
TT Arietis,02h 06m 53.08s,+15° 17′ 41.8″,10.2,Aries
RV Arietis,02h 15m 07.50s,+18° 04′ 27.9″,11.61,Aries
WASP-11/HAT-P-10,03h 09m 28.55s,+30° 40′ 24.9″,11.89,Aries
L 1159-16,02h 00m 12.79s,+13° 03′ 11.2″,12.26,Aries
LkHα 264,02h 56m 37.56s,+20° 05′ 37.1″,12.46,Aries
RW Arietis,02h 16m 03.72s,+17° 31′ 59.0″,12.51,Aries
HAT-P-25,03h 13m 45s,+25° 11′ 51″,13.19,Aries
HAT-P-52,02h 50m 53.0s,+29° 01′ 21″,14.07,Aries
WX Arietis,02h 47m 36.22s,+10° 35′ 37.7″,15.3,Aries
Teegarden's star,02h 53m 00.89s,+16° 52′ 52.7″,15.4,Aries
Capella (star),05h 16m 41.30s,+45° 59′ 56.5″,0.08,Auriga
Beta Aurigae,05h 59m 31.77s,+44° 56′ 50.8″,1.9,Auriga
Theta Aurigae,05h 59m 43.24s,+37° 12′ 46.0″,2.62,Auriga
Iota Aurigae,04h 56m 59.62s,+33° 09′ 58.1″,2.69,Auriga
Epsilon Aurigae,05h 01m 58.13s,+43° 49′ 23.9″,3.03,Auriga
Eta Aurigae,05h 06m 30.87s,+41° 14′ 04.7″,3.18,Auriga
Zeta Aurigae,05h 02m 28.68s,+41° 04′ 33.2″,3.69,Auriga
Delta Aurigae,05h 59m 31.55s,+54° 17′ 05.9″,3.72,Auriga
Nu Aurigae,05h 51m 29.39s,+39° 08′ 54.5″,3.97,Auriga
Pi Aurigae,05h 59m 56.10s,+45° 56′ 12.3″,4.3,Auriga
Kappa Aurigae,06h 15m 22.74s,+29° 29′ 55.4″,4.32,Auriga
Tau Aurigae,05h 49m 10.46s,+39° 10′ 52.1″,4.51,Auriga
16 Aurigae,05h 18m 10.55s,+33° 22′ 19.2″,4.54,Auriga
Lambda Aurigae,05h 19m 08.08s,+40° 06′ 02.4″,4.69,Auriga
Chi Aurigae,05h 32m 43.67s,+32° 11′ 31.3″,4.71,Auriga
Upsilon Aurigae,05h 51m 02.41s,+37° 18′ 20.5″,4.72,Auriga
2 Aurigae,04h 52m 38.00s,+36° 42′ 11.5″,4.79,Auriga
Psi2 Aurigae,06h 39m 19.83s,+42° 29′ 20.4″,4.8,Auriga
Mu Aurigae,05h 13m 25.73s,+38° 29′ 04.8″,4.82,Auriga
63 Aurigae,07h 11m 39.29s,+39° 19′ 14.0″,4.91,Auriga
Psi1 Aurigae,06h 24m 53.90s,+49° 17′ 16.4″,4.92,Auriga
Omega Aurigae,04h 59m 15.38s,+37° 53′ 25.7″,4.93,Auriga
